subset,model,fold,bacc,auc,n_train,n_test
all,logreg,0,0.8641654476984844,0.9611590053219632,1523,380
all,logreg,1,0.7053467000835422,0.9072960178223335,1522,381
all,logreg,2,0.7888349514563107,0.834546925566343,1522,381
all,logreg,3,0.8369512195121951,0.9578861788617886,1521,382
all,logreg,4,0.6908042744656918,0.8316772903387076,1524,379
all,cnn,0,0.7970184556969904,0.8973265693566961,1523,380
all,cnn,1,0.7200918964076859,0.823948760790866,1522,381
all,cnn,2,0.7464940668824165,0.8029710535778497,1522,381
all,cnn,3,0.8352032520325203,0.921849593495935,1521,382
all,cnn,4,0.728158980127484,0.7502499687539058,1524,379
right_STG,logreg,0,0.7400952351311817,0.8440758146338427,1523,380
right_STG,logreg,1,0.6682957393483709,0.7715956558061821,1522,381
right_STG,logreg,2,0.6997033441208198,0.7682937792161093,1522,381
right_STG,logreg,3,0.685609756097561,0.8899186991869918,1521,382
right_STG,logreg,4,0.665010623672041,0.7953380827396574,1524,379
right_STG,cnn,0,0.787152594068034,0.8735955930409884,1523,380
right_STG,cnn,1,0.7013784461152882,0.8034252297410192,1522,381
right_STG,cnn,2,0.7205366774541532,0.783081625314635,1522,381
right_STG,cnn,3,0.7614634146341464,0.8697967479674796,1521,382
right_STG,cnn,4,0.6947725284339458,0.8639857517810273,1524,379
left_STG,logreg,0,0.7519373813451184,0.9288848775326009,1523,380
left_STG,logreg,1,0.7593149540517962,0.8121414647730437,1522,381
left_STG,logreg,2,0.5722087378640777,0.5980762315713772,1522,381
left_STG,logreg,3,0.7039024390243902,0.8284959349593496,1521,382
left_STG,logreg,4,0.6336395450568679,0.7325021872265967,1524,379
left_STG,cnn,0,0.8147427717780337,0.876972394260994,1523,380
left_STG,cnn,1,0.7685045948203844,0.8651211361737677,1522,381
left_STG,cnn,2,0.6175836030204962,0.6784205321826681,1522,381
left_STG,cnn,3,0.7288211382113821,0.8430081300813008,1521,382
left_STG,cnn,4,0.6848518935133108,0.766872890888639,1524,379
non_STG,logreg,0,0.8503470168995675,0.950826304814665,1523,380
non_STG,logreg,1,0.6936507936507936,0.8953773322194374,1522,381
non_STG,logreg,2,0.7480447680690399,0.7995325422509888,1522,381
non_STG,logreg,3,0.7045121951219512,0.9345528455284553,1521,382
non_STG,logreg,4,0.6534495688038995,0.8819210098737658,1524,379
non_STG,cnn,0,0.820578257757306,0.9058852821262954,1523,380
non_STG,cnn,1,0.677861319966583,0.7799637983848511,1522,381
non_STG,cnn,2,0.7629449838187703,0.8609313196691838,1522,381
non_STG,cnn,3,0.699349593495935,0.789349593495935,1521,382
non_STG,cnn,4,0.6926321709786277,0.788026496687914,1524,379
