electrode_index,electrode_id,electrode_group,delta_bacc,delta_divergence
0,song-elec1,song,0.009626338573707205,0.014480753841805027
1,song-elec2,song,0.0083732057416267,0.015971663042277262
2,song-elec3,song,0.004784688995215114,-0.007496052706647882
3,song-elec4,song,0.01025290498974707,0.005331403582409244
4,song-elec5,song,0.0011961722488038617,-0.00511807421758137
5,song-elec6,song,0.002961950330371277,-0.004629959107248727
6,song-elec7,song,5.696058327642195e-05,-0.006867763523333403
7,speech-elec1,speech,0.0035885167464114742,-0.003585982819055644
8,speech-elec2,speech,0.0011961722488038617,-0.005939519403781901
9,speech-elec3,speech,0.0023353839143313015,0.00022170321417980254
10,speech-elec4,speech,0.0011961722488038617,0.0002027681485099464
11,speech-elec5,speech,0.0011961722488038617,-0.008183472532587333
12,speech-elec6,speech,0.00489861016176818,0.004397361327000859
13,speech-elec7,speech,-0.0011961722488038617,-0.0050821125880721185
14,speech-elec8,speech,0.0005696058327637754,0.004138728582703921
15,speech-elec9,speech,0.008487126908179321,0.0035933310448696965
16,speech-elec10,speech,0.0010822510822510178,-0.006973682270779991
17,speech-elec11,speech,0.0024493050808840344,-0.004208006954276922
18,speech-elec12,speech,-0.0005696058327636644,-0.012949431069165351
19,speech-elec13,speech,0.0023923444976077235,-0.009570642140159569
20,speech-elec14,speech,0.0005696058327637754,-0.006989542208421851
21,speech-elec15,speech,0.001822738664843837,-0.007471007800044394
22,music-elec1,music,-5.696058327642195e-05,0.015010094221124204
23,music-elec2,music,0.004158122579175361,-0.008489705345122722
24,music-elec3,music,0.0011392116655274398,-0.011685541331867277
25,music-elec4,music,0.008544087491455965,0.018963468973061337
26,music-elec5,music,0.003018910913647699,-0.010687877956485514
27,music-elec6,music,0.004784688995215336,0.057876141883975385
28,music-elec7,music,5.696058327642195e-05,-0.006867763523333403
29,music-elec8,music,0.005525176577808155,-0.0037068319075456158
30,music-elec9,music,0.0011961722488038617,0.004698361681038321
31,music-elec10,music,0.0011961722488038617,-0.006832667798618797
32,music-elec11,music,0.003702437912964318,0.005612337884752794
