dataset,group,event,n_elec,n_events,peak_latency_s,onset_sustained_ratio,auc
bellier,right_STG,vocal,181,4,0.06,1.5744305384356359,0.22933464728295805
bellier,right_STG,instrumental,181,4,0.49,1.304757547744888,0.12311933566881633
bellier,left_STG,vocal,245,4,0.02,1.1066801324160314,0.2008496618564823
bellier,left_STG,instrumental,245,4,0.61,1.1488780796935738,0.11497839694581216
norman,song,song,7,11,0.66,0.10578639660114968,100.7520857606581
norman,song,music,7,21,0.4,0.43731341040106825,34.720332451302156
norman,song,speech,7,17,0.22,0.5329978954345455,35.552591995859956
norman,music,song,11,11,0.65,0.18741228800966267,97.57295313324553
norman,music,music,11,21,0.37,0.4311498770867495,82.08146096041003
norman,music,speech,11,17,0.25,0.5818982431129642,26.266017945444144
norman,speech,song,15,11,1.0,0.4229689808296369,52.79684585731424
norman,speech,music,15,21,0.15,2.247119737620208,13.0069807846477
norman,speech,speech,15,17,0.35,0.48990176957177345,122.40798452530524
